epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.215,2.05217,1.33367,0.88038,0.84504,0.64234,0.71358,0.30288,2.24367,1.42008,0.89241,0.00033213,0.00033213,0.00033213
2,621.942,2.09283,1.37449,0.88637,0.82304,0.65597,0.72211,0.32704,2.119,1.37837,0.88461,0.000621543,0.000621543,0.000621543
3,2220.47,2.06007,1.36752,0.88053,0.80584,0.63746,0.6946,0.29649,2.17956,1.39227,0.89407,0.000866955,0.000866955,0.000866955
4,2536.87,2.15608,1.41016,0.89273,0.9263,0.61474,0.71203,0.3077,2.1938,1.38342,0.89441,0.000802,0.000802,0.000802
5,2893.18,2.12461,1.40229,0.88837,0.84115,0.60388,0.71173,0.29768,2.19689,1.36749,0.8916,0.000736,0.000736,0.000736
6,3263.05,2.17438,1.49726,0.89545,0.75559,0.66125,0.70577,0.32374,2.12963,1.41247,0.8873,0.00067,0.00067,0.00067
7,3608.33,2.11916,1.38338,0.89687,0.83255,0.65532,0.72432,0.32103,2.12781,1.29668,0.88963,0.000604,0.000604,0.000604
8,3951.24,2.10399,1.35801,0.88745,0.8318,0.6845,0.75269,0.3473,2.05953,1.25769,0.88004,0.000538,0.000538,0.000538
9,4306.93,2.06065,1.31654,0.88275,0.88005,0.67808,0.75268,0.35655,2.06443,1.28554,0.87902,0.000472,0.000472,0.000472
10,4660.57,2.03168,1.28268,0.8741,0.9014,0.66284,0.73982,0.33821,2.07627,1.30487,0.8839,0.000406,0.000406,0.000406
11,6056.37,2.01675,1.23595,0.88177,0.87326,0.67119,0.75399,0.34698,2.04494,1.25501,0.87682,0.00034,0.00034,0.00034
12,6384.58,1.98625,1.2325,0.87535,0.86077,0.64376,0.71979,0.29429,2.17195,1.30566,0.88471,0.000274,0.000274,0.000274
13,6733.32,1.93787,1.14986,0.87247,0.83249,0.70402,0.75749,0.36086,2.00975,1.217,0.87403,0.000208,0.000208,0.000208
14,7842.76,1.92657,1.17347,0.86697,0.85313,0.69955,0.75192,0.3532,2.01109,1.20644,0.874,0.000142,0.000142,0.000142
15,8203.39,1.90696,1.12922,0.86253,0.89787,0.68666,0.76562,0.36012,1.9858,1.1862,0.87015,7.6e-05,7.6e-05,7.6e-05
